,1 Fatality Rate,2 CO2 footprint,3 Number of countries playing it,4 Ratio of Players of each gender,5 Number of Players,6 Cost of Equipment for Players,7 Presence in University Sports,8 Injury Rate,9 Social Media Presence,10 Gender Pay Gap,11 Ratio of each gender in coaching positions,12 Doping Statistics,13 Ease of developing new strategies,14 Accessibility across different streaming platforms,15 Movies/documentaries
Mountain Biking,0.9937625,0.684842105,0.262561576,0.778222222,0.021911096,0.927463659,0.024511278,0.826036697,0.501,0.8004,0.778222222,0.616153846,0.667333333,0.112888889,0.1517
"Climbing (Bouldering, Traditional Climbing)",0.5321875,0.684842105,0.508374384,1,0.011930597,0.927463659,0.04952381,0.91759633,0.501,0.8004,0.778222222,0.923230769,1,0.112888889,0.2515
Orienteering,0.995321875,0.737368421,0.139655172,1,0.002948147,0.994997494,0.004501253,0.990844037,0.501,1,0.889111111,0.961615385,0.334666667,0.002,0.002
Parkour,0.995321875,0.894947368,0.090492611,0.778222222,0.004445222,0.989994988,0.004501253,0.642917431,0.501,1,0.778222222,0.961615385,1,0.002,0.1018
Skeet Shooting,1,0.947473684,0.188817734,0.556444444,0.011930597,0.927463659,0.004501253,0.990844037,0.12675,0.8004,0.667333333,0.923230769,0.002,0.002,0.002
Disc Golf,1,0.63231579,0.164236453,0.556444444,0.006940347,0.994997494,0.024511278,0.97253211,0.12675,1,0.889111111,0.961615385,0.002,0.002,0.002
Baton Twirling,1,0.947473684,0.090492611,0.112888889,0.002449122,0.998749373,0.004501253,0.990844037,0.002,1,0.556444444,1,1,0.002,0.002
DanceSport (Competitive Dance),0.995321875,1,0.237980296,0.778222222,0.006940347,0.964982456,0.024511278,0.990844037,0.37625,1,0.667333333,0.961615385,1,0.002,0.1018
Foilboarding (Hydrofoil Surfing),0.995321875,0.894947368,0.041330049,0.334666667,0.002,0.852426065,0.002,0.94506422,0.2515,1,0.778222222,0.923230769,0.334666667,0.002,0.0519
Sandboarding,0.995321875,0.63231579,0.041330049,0.556444444,0.002449122,0.989994988,0.002,0.94506422,0.2515,1,0.778222222,0.961615385,0.334666667,0.002,0.002
Adventure Racing,0.995321875,0.842421053,0.188817734,0.778222222,0.002449122,0.939969925,0.004501253,0.871816514,0.12675,1,0.889111111,0.846461539,0.334666667,0.002,0.1018
Wood Chopping,0.995321875,0.579789474,0.090492611,0.112888889,0.002449122,0.964982456,0.002,0.89012844,0.12675,1,0.778222222,1,0.667333333,0.002,0.002
Freediving,0.5321875,0.737368421,0.139655172,0.778222222,0.004445222,0.939969925,0.04952381,0.981688073,0.501,1,0.778222222,0.961615385,1,0.002,0.1018
Artistic Swimming,0.995321875,0.842421053,0.237980296,0.112888889,0.006940347,0.877438597,0.024511278,0.94506422,0.7505,1,0.889111111,0.846461539,1,0.112888889,0.0519
Marathon Swimming (aka open water swimming),0.995321875,0.894947368,0.139655172,1,0.006940347,0.994997494,0.04952381,0.981688073,0.7505,0.8004,0.889111111,0.846461539,0.002,0.112888889,0.0519
Swimming,0.995321875,0.737368421,1,1,0.201560078,1,0.499749373,0.981688073,1,0.6008,0.778222222,0.692923077,0.002,0.445555556,0.3014
Canoeing,0.995321875,0.789894737,0.508374384,0.778222222,0.006940347,0.964982456,0.024511278,0.981688073,0.62575,0.8004,0.889111111,0.846461539,0.002,0.112888889,0.1018
Cycling,0.99688125,0.842421053,0.754187192,0.556444444,0.251462573,0.939969925,0.04952381,0.734477064,0.62575,0.4012,0.778222222,0.002,0.002,0.445555556,0.4012
Equestrian,0.313875,0.63231579,0.29697537,0.556444444,0.016920846,0.877438597,0.024511278,0.89012844,0.37625,1,0.889111111,0.846461539,0.334666667,0.112888889,0.1018
Golf,0.998440625,0.63231579,0.508374384,0.556444444,0.031891595,0.914957394,0.04952381,0.990844037,0.62575,0.4012,0.778222222,0.961615385,0.002,0.112888889,0.1018
Modern Pentathlon,0.995321875,0.684842105,0.090492611,1,0.002948147,0.914957394,0.004501253,0.89012844,0.12675,1,0.889111111,0.846461539,0.002,0.112888889,0.002
Coastal Rowing,0.995321875,0.789894737,0.041330049,0.778222222,0.002449122,0.964982456,0.002,0.94506422,0.2515,1,0.778222222,0.923230769,0.002,0.002,0.002
Roque,1,0.947473684,0.002,0.556444444,0.002,0.993746867,0.002,1,0.12675,1,0.778222222,1,0.002,0.002,0.002
Sailing,0.995321875,0.789894737,0.262561576,0.556444444,0.016920846,0.502250627,0.004501253,0.990844037,0.501,0.8004,0.778222222,0.923230769,0.334666667,0.112888889,0.1517
Skateboarding,0.9937625,0.842421053,0.262561576,0.334666667,0.026901345,0.993746867,0.024511278,0.734477064,0.62575,0.6008,0.778222222,0.846461539,1,0.112888889,0.1517
Surfing,0.995321875,0.789894737,0.262561576,0.556444444,0.019415971,0.939969925,0.024511278,0.89012844,0.501,0.6008,0.889111111,0.923230769,1,0.223777778,0.2016
Triathlon,0.995321875,0.63231579,0.508374384,0.778222222,0.006940347,0.877438597,0.024511278,0.94506422,0.501,0.6008,0.778222222,0.616153846,0.002,0.223777778,0.1018
Weightlifting,0.995321875,0.842421053,0.508374384,0.334666667,0.011930597,0.971235589,0.024511278,0.91759633,0.501,0.4012,0.445555556,0.002,0.002,0.112888889,0.1018
"Auto Racing (e.g., Formula 1, NASCAR)",0.9064375,0.002,0.262561576,0.002,0.026901345,0.002,0.004501253,0.798568807,1,0.2016,0.002,0.961615385,1,0.223777778,0.3014
Drag Racing,0.5321875,0.107052632,0.139655172,0.112888889,0.006940347,0.877438597,0.002,0.89012844,0.87525,0.8004,0.223777778,0.923230769,0.334666667,0.112888889,0.1018
Motocross,0.5321875,0.212105263,0.237980296,0.112888889,0.021911096,0.877438597,0.002,0.322458716,0.37625,0.4012,0.445555556,0.692923077,0.334666667,0.223777778,0.1517
Enduro Motorcycle Racing,0.37625,0.264631579,0.090492611,0.112888889,0.006940347,0.75237594,0.002,0.322458716,0.37625,0.8004,0.445555556,0.616153846,0.334666667,0.112888889,0.1018
Water Motorsports,0.563375,0.159578947,0.164236453,0.112888889,0.006940347,0.627313283,0.002,0.871816514,0.37625,1,0.556444444,0.846461539,0.334666667,0.112888889,0.1018
